iter	Passed	Remaining
371	1565	538
372	1568	534
373	1572	529
374	1576	525
375	1579	521
376	1583	516
377	1587	512
378	1590	507
379	1594	503
380	1597	499
381	1601	494
382	1604	490
383	1608	485
384	1612	481
385	1616	477
386	1619	472
387	1623	468
388	1627	464
389	1632	460
390	1636	456
391	1639	451
392	1643	447
393	1647	443
394	1650	438
395	1655	434
396	1659	430
397	1662	425
398	1665	421
399	1668	417
400	1672	413
401	1676	408
402	1679	404
403	1683	400
404	1686	395
405	1690	391
406	1694	387
407	1697	382
408	1701	378
409	1704	374
410	1708	369
411	1712	365
412	1715	361
413	1719	357
414	1722	352
415	1726	348
416	1729	344
417	1733	339
418	1736	335
419	1739	331
420	1743	327
421	1747	323
422	1750	318
423	1754	314
424	1758	310
425	1762	306
426	1765	301
427	1769	297
428	1772	293
429	1776	289
430	1780	284
431	1784	280
432	1787	276
433	1791	272
434	1796	268
435	1799	264
436	1803	260
437	1807	255
438	1810	251
439	1813	247
440	1817	243
441	1821	238
442	1824	234
443	1828	230
444	1832	226
445	1835	222
446	1839	218
447	1844	214
448	1847	209
449	1851	205
450	1854	201
451	1858	197
452	1863	193
453	1866	189
454	1869	184
455	1874	180
456	1878	176
457	1881	172
458	1885	168
459	1889	164
460	1894	160
461	1898	156
462	1901	151
463	1905	147
464	1909	143
465	1912	139
466	1916	135
467	1920	131
468	1923	127
469	1927	123
470	1931	118
471	1935	114
472	1939	110
473	1942	106
474	1946	102
475	1949	98
476	1953	94
477	1956	90
478	1960	85
479	1964	81
480	1968	77
481	1971	73
482	1975	69
483	1979	65
484	1983	61
485	1988	57
486	1993	53
487	1998	49
488	2003	45
489	2007	40
490	2011	36
491	2015	32
492	2018	28
493	2021	24
494	2025	20
495	2029	16
496	2032	12
497	2036	8
498	2039	4
499	2042	0
