iter	Logloss
0	0.6268933099
1	0.5761789601
2	0.5445201571
3	0.5134708328
4	0.4925326564
5	0.4747405698
6	0.462187794
7	0.4512159975
8	0.4429107124
9	0.4361703565
10	0.4294744222
11	0.4255475219
12	0.421542125
13	0.4177628318
14	0.4143590834
15	0.4108464294
16	0.4090118484
17	0.4070576056
18	0.4051442662
19	0.4042497672
20	0.40208916
21	0.4000631078
22	0.3983807836
23	0.3967859666
24	0.3956882503
25	0.395481703
26	0.3939045774
27	0.3924314734
28	0.391619979
29	0.3915059117
30	0.3901602368
31	0.3898556797
32	0.3894251674
33	0.3888716333
34	0.3881715376
35	0.3873501115
36	0.3863371096
37	0.385406422
38	0.3842689441
39	0.3835866889
40	0.3825724985
41	0.3813492767
42	0.3812207788
43	0.3812207487
44	0.3809131889
45	0.3809098282
46	0.3807771036
47	0.3800635551
48	0.3795787319
49	0.3787654994
50	0.3781949657
51	0.3780431785
52	0.377499365
53	0.3762422912
54	0.3749456313
55	0.3738549533
56	0.3736684271
57	0.3734917111
58	0.3733217402
59	0.3728868538
60	0.3723705759
61	0.3718158882
62	0.3717415796
63	0.3715566686
64	0.3715083024
65	0.3704720801
66	0.3698473608
67	0.3697932889
68	0.369377908
69	0.3691848802
70	0.3690205359
71	0.3688266063
72	0.3685596851
73	0.3685421587
74	0.3684684756
75	0.3675693919
76	0.3665820047
77	0.3663078874
78	0.3657798552
79	0.3652755451
80	0.364671739
81	0.3645278655
82	0.3641038287
83	0.3636033985
84	0.3632371592
85	0.3631930519
86	0.3626806663
87	0.3622225039
88	0.361793701
89	0.3608500876
90	0.3604128975
91	0.359668039
92	0.3594996685
93	0.3589522215
94	0.3580779674
95	0.3578517721
96	0.3574809643
97	0.3572971333
98	0.356389098
99	0.3560741056
100	0.3558354663
101	0.3550111269
102	0.3536018268
103	0.3531394166
104	0.3521775608
105	0.3519148746
106	0.3518866344
107	0.3509242065
108	0.3503378801
109	0.3497118301
110	0.3495033676
111	0.3488137328
112	0.3482500351
113	0.3474774411
114	0.3470655574
115	0.3463387625
116	0.3459619691
117	0.345388351
118	0.3453700067
119	0.3452445371
120	0.3446941398
121	0.3441661655
122	0.343862433
123	0.3436208992
124	0.3429537219
125	0.342204079
126	0.3414493966
127	0.3412647624
128	0.3411081179
129	0.3407918319
130	0.3401510841
131	0.3400707682
132	0.3392930894
133	0.3386774345
134	0.3383387937
135	0.3380299013
136	0.3378949522
137	0.3377395551
138	0.3370995435
139	0.3367721172
140	0.3363915087
141	0.3356866491
142	0.3350799761
143	0.3349520985
144	0.3341122506
145	0.3336433663
146	0.3332059725
147	0.3330145615
148	0.3329546932
149	0.3327429502
150	0.3317649169
151	0.3311670693
152	0.3304898104
153	0.3294697553
154	0.3287281434
155	0.3281540049
156	0.3278099852
157	0.3273658352
158	0.3269816958
159	0.3266810525
160	0.3265421489
161	0.3264069235
162	0.3261397414
163	0.3257632784
164	0.3253385091
165	0.3246192268
166	0.3237827189
167	0.3233178821
168	0.3231180812
169	0.3230265568
170	0.322615501
171	0.3222726305
172	0.3217217535
173	0.3211430173
174	0.3207521245
175	0.3198426074
176	0.3195149873
177	0.3187349457
178	0.3181957412
179	0.3181815202
180	0.3174875768
181	0.3169689272
182	0.316830355
183	0.3164968845
184	0.3163924653
185	0.3159452538
186	0.3158248364
187	0.3150271914
188	0.3142016367
189	0.313713491
190	0.3131091142
191	0.3124873138
192	0.3120529918
193	0.3115780655
194	0.310810796
195	0.3105559857
196	0.3100139546
197	0.3097992148
198	0.3096194467
199	0.3089806932
200	0.3079239073
201	0.3077349752
202	0.3072938308
203	0.306723132
204	0.306460338
205	0.3054170555
206	0.304756051
207	0.3036866742
208	0.3034798558
209	0.3033380611
210	0.3027079973
211	0.3022656453
212	0.3017988585
213	0.301658231
214	0.3013593491
215	0.3012919793
216	0.3008972851
217	0.3007743977
218	0.2997553527
219	0.2996877827
220	0.2992431715
221	0.2987081004
222	0.2985285835
223	0.298237678
224	0.2977933398
225	0.2968098539
226	0.2966244315
227	0.2960516292
228	0.2954868592
229	0.2948764858
230	0.2944257638
231	0.2940729512
232	0.2936317083
233	0.2934687949
234	0.2931569654
235	0.2930392356
236	0.2927468103
237	0.2923535707
238	0.2918306958
239	0.2912304363
240	0.2911232499
241	0.290963226
242	0.2907369812
243	0.2905790737
244	0.2905239978
245	0.2902706239
246	0.2896288734
247	0.2894035375
248	0.2892776646
249	0.2886674188
250	0.2883731223
251	0.2881028562
252	0.287420292
253	0.286952118
254	0.2867221116
255	0.2866809318
256	0.2862661217
257	0.285817846
258	0.285489285
259	0.2850143076
260	0.2842649731
261	0.283994668
262	0.2835025279
263	0.2831608788
264	0.2830403325
265	0.282750193
266	0.2826645749
267	0.2824998065
268	0.2819926971
269	0.2815689081
270	0.2813100508
271	0.2810417299
272	0.2806621174
273	0.2802376801
274	0.2800336048
275	0.279788969
276	0.2796449491
277	0.2794152928
278	0.2790296077
279	0.2788100053
280	0.2787635468
281	0.2784084041
282	0.2779173551
283	0.2775319987
284	0.2773132239
285	0.2769968681
286	0.2768989485
287	0.2766524331
288	0.2761260166
289	0.2758997481
290	0.2756079177
291	0.2752670969
292	0.2750690163
293	0.2749806118
294	0.2745214521
295	0.2742254508
296	0.2740787944
297	0.2737891138
298	0.2735017976
299	0.2727610202
300	0.2726314413
301	0.2722687452
302	0.2719104188
303	0.2717822094
304	0.2714815835
305	0.2707011347
306	0.2703125474
307	0.2701837001
308	0.2693731812
309	0.2691737931
310	0.2687974132
311	0.268376372
312	0.2680441639
313	0.2678029792
314	0.2676799735
315	0.2669671031
316	0.2666027788
317	0.2665157374
318	0.2661475679
319	0.2655824935
320	0.2653629803
321	0.2652850432
322	0.2648709261
323	0.2642207646
324	0.2638656333
325	0.2636056388
326	0.2633786477
327	0.2628571445
328	0.2619993901
329	0.2617303601
330	0.261495078
331	0.2609585345
332	0.260793645
333	0.2605428842
334	0.2603842954
335	0.2597143732
336	0.259541741
337	0.2591312348
338	0.2587734459
339	0.2583942529
340	0.2582057285
341	0.2579612832
342	0.2576662428
343	0.2574064435
344	0.2572076133
345	0.2569560512
346	0.2566774131
347	0.2565204356
348	0.2558992667
349	0.2557666073
350	0.2552188663
351	0.2548533821
352	0.2547637097
353	0.2546192341
354	0.2545745278
355	0.2542861219
356	0.254037765
357	0.2537310645
358	0.2536247442
359	0.2534337288
360	0.2531400814
361	0.2529252182
362	0.2527473216
363	0.2522836018
364	0.2520447432
365	0.2515752744
366	0.2511647776
367	0.2510026
368	0.2502382911
369	0.2500111874
370	0.2498823118
371	0.2495211357
372	0.2489505876
373	0.2486996111
374	0.2483522543
375	0.2481075692
376	0.247900576
377	0.2477981066
378	0.2477658814
379	0.2476210449
380	0.2472146815
381	0.2470788614
382	0.2465843207
383	0.246484376
384	0.246127536
385	0.245621978
386	0.2452783862
387	0.2450816723
388	0.2449581434
389	0.2445463265
390	0.2442397879
391	0.2441583335
392	0.2439584502
393	0.2434843451
394	0.2434046288
395	0.2431407626
396	0.2429129007
397	0.2425121405
398	0.2423481615
399	0.2418713191
400	0.2415686739
401	0.2407821766
402	0.2407053928
403	0.2405224747
404	0.2401256819
405	0.239962813
406	0.2396969192
407	0.2395490598
408	0.2394061393
409	0.2392631427
410	0.2389284308
411	0.2384774245
412	0.2382439268
413	0.2379835134
414	0.2375689049
415	0.2373887148
416	0.2370170743
417	0.2363030452
418	0.235589492
419	0.2354496287
420	0.2352781366
421	0.2350601454
422	0.2348592867
423	0.2347143521
424	0.2344235143
425	0.2342738335
426	0.2339360796
427	0.2336801475
428	0.2335403171
429	0.2332815026
430	0.2332305145
431	0.23305159
432	0.2328096569
433	0.2327150096
434	0.2325216932
435	0.2318603216
436	0.2318042083
437	0.2317428678
438	0.2315629808
439	0.231479377
440	0.2313768433
441	0.2312578258
442	0.2309427763
443	0.2306766139
444	0.2304559536
445	0.2302075644
446	0.2300451888
447	0.2297379358
448	0.2295014331
449	0.2294162394
450	0.2288966107
451	0.2286813785
452	0.2280983647
453	0.228011617
454	0.2278146124
455	0.2278062838
456	0.2277284338
457	0.2276266103
458	0.2274313542
459	0.2273530969
460	0.2269463952
461	0.2268816531
462	0.2266513712
463	0.2262185394
464	0.2258928163
465	0.2257329917
466	0.2253786187
467	0.2250012794
468	0.2244829261
469	0.224192158
470	0.2240155705
471	0.2239118295
472	0.2235879523
473	0.2235050137
474	0.2231438789
475	0.2226770224
476	0.2226235189
477	0.2224378322
478	0.2222117837
479	0.2216572985
480	0.221278799
481	0.2208983634
482	0.220731318
483	0.2205435336
484	0.2204312701
485	0.2200205987
486	0.2198254083
487	0.2196550341
488	0.2193902652
489	0.2190993662
490	0.2188982371
491	0.2186587182
492	0.2184520818
493	0.2183339944
494	0.2182104735
495	0.218145054
496	0.2179507036
497	0.2176848359
498	0.2174881043
499	0.2172141352
